Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgR037_g058,1318.87,1.32,0.99,1.33,0.18,0.39
PgR037_g061,3300.58,1.43,0.68,2.09,0.04,0.14
PgR037_g062,11.67,3.53,1.14,3.11,0.00,0.02
PgR037_g063,349.60,1.35,0.81,1.67,0.10,0.26
PgR037_g065,207.14,1.68,0.85,1.97,0.05,0.17
PgR037_g066,2985.74,-0.23,0.34,-0.67,0.50,0.70
PgR037_g067,258.93,0.59,0.36,1.62,0.10,0.28
PgR037_g068,3165.24,4.18,0.70,6.01,0.00,0.00
PgR037_g069,25.21,1.76,1.34,1.32,0.19,0.40
PgR037_g070,1763.62,-0.47,0.27,-1.76,0.08,0.23
PgR037_g071,667.57,-0.07,0.20,-0.34,0.74,0.86
PgR037_g072,450.83,0.62,0.46,1.37,0.17,0.38
PgR037_g073,1288.83,-0.20,0.19,-1.09,0.28,0.50
PgR037_g074,319.16,0.65,0.30,2.18,0.03,0.12
PgR037_g077,20928.39,-0.63,0.44,-1.44,0.15,0.35
PgR037_g079,608.31,0.28,0.27,1.07,0.29,0.51
PgR037_g080,10.53,2.21,1.08,2.05,0.04,0.15
PgR037_g081,1002.04,0.16,0.80,0.20,0.84,0.92
PgR037_g082,140.88,0.24,0.34,0.71,0.48,0.68
PgR037_g083,270.07,-0.19,0.26,-0.71,0.48,0.68
PgR037_g085,2844.88,-0.47,0.15,-3.16,0.00,0.02
PgR037_g086,1135.32,0.18,0.16,1.12,0.26,0.48
PgR037_g087,53.07,2.51,0.94,2.68,0.01,0.05
PgR037_g088,1.77,5.38,2.04,2.64,0.01,0.05
PgR037_g089,587.07,0.40,0.42,0.95,0.34,0.56
PgR037_g091,22.34,-0.10,0.71,-0.14,0.89,0.94
PgR037_g093,2882.35,-0.05,0.25,-0.20,0.84,0.92
PgR037_g094,682.62,1.37,0.64,2.15,0.03,0.13
PgR037_g095,223.61,1.55,0.82,1.90,0.06,0.19
PgR037_g096,1270.97,-0.61,0.75,-0.82,0.41,0.63
PgR037_g097,1933.47,-0.46,0.27,-1.68,0.09,0.26
PgR037_g098,2936.09,0.35,0.27,1.29,0.20,0.41
PgR037_g099,75.20,0.89,0.54,1.67,0.10,0.26
PgR037_g101,759.00,-0.34,0.17,-2.04,0.04,0.15
PgR037_g103,507.39,-0.01,0.22,-0.03,0.98,0.99
PgR037_g104,3943.06,-0.75,0.22,-3.36,0.00,0.01
PgR037_g106,3561.48,-0.05,0.22,-0.23,0.82,0.91
PgR037_g108,5349.34,-0.53,0.22,-2.45,0.01,0.08
PgR037_g109,111343.20,-0.54,0.54,-0.99,0.32,0.55
PgR037_g110,384.56,0.55,0.15,3.62,0.00,0.00
PgR037_g111,36.72,1.89,0.58,3.27,0.00,0.01
PgR037_g113,218.26,0.35,0.41,0.84,0.40,0.62
PgR038X_g001,96.48,-0.68,0.35,-1.91,0.06,0.19
PgR038X_g002,1879.31,-0.19,0.18,-1.01,0.31,0.53
PgR038X_g003,1551.36,0.23,0.25,0.92,0.36,0.58
PgR038X_g006,2261.51,0.20,0.34,0.58,0.56,0.75
PgR038X_g007,353.19,-0.34,0.43,-0.80,0.43,0.64
PgR038X_g008,3811.71,-0.35,0.20,-1.74,0.08,0.24
PgR038X_g009,855.38,-0.40,0.48,-0.82,0.41,0.63
PgR038X_g010,393.53,0.49,0.27,1.85,0.06,0.20
PgR038X_g011,558.30,-0.50,0.21,-2.35,0.02,0.09
PgR038X_g012,576.50,0.06,0.22,0.26,0.79,0.89
PgR038X_g013,688.37,-0.52,0.26,-2.01,0.04,0.16
PgR038X_g015,449.14,-0.92,0.65,-1.42,0.16,0.36
PgR038X_g016,446.80,0.12,0.25,0.47,0.64,0.80
PgR038X_g017,700.48,-0.07,0.20,-0.35,0.73,0.86
PgR038X_g018,9504.04,-0.41,0.24,-1.70,0.09,0.25
PgR038X_g020,748.45,0.75,0.30,2.50,0.01,0.07
PgR038X_g021,1386.92,-0.25,0.45,-0.56,0.58,0.76
PgR038X_g022,44262.09,-0.50,0.20,-2.47,0.01,0.07
PgR038X_g023,8131.48,-0.17,0.16,-1.09,0.27,0.50
PgR038X_g024,1.92,0.43,1.51,0.28,0.78,0.88
PgR038X_g025,1410.42,1.85,0.76,2.43,0.02,0.08
PgR038X_g026,1.63,0.89,1.91,0.47,0.64,0.80
PgR038X_g027,38.77,0.67,1.12,0.60,0.55,0.74
PgR038X_g028,72.83,3.10,0.72,4.30,0.00,0.00
PgR038X_g029,922.63,0.59,0.29,2.02,0.04,0.16
PgR038X_g030,310.84,0.34,0.25,1.38,0.17,0.37
PgR038X_g031,1191.97,0.07,0.47,0.16,0.88,0.94
PgR038X_g032,7287.55,0.28,0.55,0.51,0.61,0.78
PgR038X_g033,19191.66,0.78,0.68,1.14,0.25,0.47
PgR038X_g034,3.85,-1.39,1.69,-0.82,0.41,0.63
PgR038X_g035,1723.33,0.13,0.26,0.51,0.61,0.78
PgR038X_g036,1018.42,0.30,0.18,1.73,0.08,0.24
PgR038X_g037,4320.92,-0.74,0.32,-2.33,0.02,0.09
PgR038X_g038,361.32,-0.24,0.24,-1.00,0.32,0.54
PgR038X_g039,985.76,-0.23,0.27,-0.83,0.41,0.62
PgR038X_g040,1279.54,-0.67,0.36,-1.88,0.06,0.19
PgR038X_g041,21473.77,-0.52,0.18,-2.83,0.00,0.03
PgR038X_g042,1680.75,-0.45,0.27,-1.66,0.10,0.27
PgR038X_g043,3654.08,0.11,0.17,0.67,0.51,0.71
PgR038X_g044,14589.40,-0.58,0.18,-3.21,0.00,0.01
PgR038X_g045,797.43,0.48,0.29,1.65,0.10,0.27
PgR038X_g046,9599.98,-0.33,0.36,-0.91,0.37,0.59
PgR038X_g047,8443.35,-0.73,0.39,-1.87,0.06,0.20
PgR038X_g049,4.98,-1.42,1.33,-1.07,0.29,0.51
PgR038X_g050,5.60,-1.49,1.42,-1.05,0.30,0.52
PgR038X_g051,2202.83,0.33,0.28,1.20,0.23,0.45
PgR038X_g052,2871.05,-0.37,0.30,-1.23,0.22,0.43
PgR038X_g053,630.19,-0.97,0.40,-2.44,0.01,0.08
PgR038X_g054,4827.69,-0.57,0.20,-2.85,0.00,0.03
PgR038X_g055,564.46,0.31,0.22,1.40,0.16,0.36
PgR038X_g056,112.20,0.77,0.38,2.03,0.04,0.16
PgR038X_g057,2835.51,0.15,0.19,0.80,0.42,0.64
PgR038X_g059,14.26,1.14,0.68,1.66,0.10,0.27
PgR038X_g060,2811.42,-0.62,0.26,-2.35,0.02,0.09
PgR038X_g061,88.67,1.06,0.87,1.22,0.22,0.44
PgR038X_g062,132.39,2.88,0.85,3.37,0.00,0.01
PgR038X_g063,1187.48,0.00,0.20,0.01,1.00,1.00
PgR038X_g064,49.42,-0.25,0.36,-0.70,0.48,0.69
PgR038X_g066,132.32,0.29,0.37,0.79,0.43,0.65
PgR038X_g067,37967.92,-0.78,0.28,-2.74,0.01,0.04
PgR038X_g068,439.02,-0.07,0.23,-0.31,0.75,0.87
PgR038X_g069,2310.94,-0.43,0.17,-2.58,0.01,0.06
PgR038X_g070,317.31,0.40,0.24,1.62,0.10,0.28
PgR038X_g071,864.39,0.04,0.17,0.25,0.80,0.90
PgR038X_g072,2344.92,0.03,0.23,0.11,0.91,0.96
PgR038X_g073,1055.94,0.33,0.20,1.62,0.10,0.28
PgR038X_g074,3007.19,-0.15,0.18,-0.85,0.40,0.61
PgR038X_g075,10.18,1.56,0.93,1.69,0.09,0.26
PgR038X_g076,7294.96,1.74,0.83,2.09,0.04,0.14
PgR038X_g077,161.32,0.39,0.26,1.52,0.13,0.32
PgR038X_g078,976.07,-0.85,0.34,-2.53,0.01,0.07
PgR038X_g079,20.09,1.21,1.15,1.06,0.29,0.51
PgR038X_g080,745.33,-0.01,0.18,-0.08,0.94,0.97
PgR038X_g081,480.92,-0.11,0.24,-0.45,0.65,0.81
PgR038X_g082,214.87,0.24,0.45,0.54,0.59,0.77
PgR038X_g083,7.52,2.13,1.14,1.87,0.06,0.20
PgR038X_g084,73.01,0.58,0.97,0.60,0.55,0.74
PgR038X_g085,236.83,3.28,0.62,5.25,0.00,0.00
PgR038X_g087,96.98,1.08,0.98,1.11,0.27,0.49
PgR038X_g088,19804.13,-0.56,0.27,-2.06,0.04,0.15
PgR038X_g089,460.12,0.52,0.27,1.96,0.05,0.17
PgR038X_g090,729.59,0.00,0.19,0.01,0.99,0.99
PgR038X_g091,4247.16,-0.61,0.20,-3.07,0.00,0.02
PgR038X_g092,591.07,-0.04,0.24,-0.16,0.87,0.94
PgR038X_g093,2832.68,-0.61,0.21,-2.87,0.00,0.03
PgR038X_g094,2582.24,-0.11,0.28,-0.39,0.70,0.84
PgR038X_g095,2868.02,0.24,0.27,0.89,0.38,0.60
PgR038X_g096,4189.78,-0.55,0.22,-2.51,0.01,0.07
PgR038X_g097,1938.67,-0.44,0.24,-1.83,0.07,0.21
PgR038X_g098,1961.26,-0.73,0.24,-3.09,0.00,0.02
PgR038X_g099,1547.54,-0.29,0.17,-1.70,0.09,0.25
PgR038X_g101,929.77,-0.12,0.15,-0.79,0.43,0.65
PgR038X_g102,2107.34,-0.26,0.16,-1.62,0.11,0.28
PgR038X_g103,473.15,0.06,0.23,0.28,0.78,0.89
PgR038X_g104,16620.90,-0.29,0.21,-1.42,0.15,0.35
PgR039_g001,1788.36,0.18,0.17,1.05,0.29,0.52
PgR039_g002,12.78,0.31,0.54,0.57,0.57,0.75
PgR039_g003,764.76,-0.29,0.16,-1.88,0.06,0.19
PgR039_g004,9550.39,-0.39,0.16,-2.47,0.01,0.07
PgR039_g005,8624.89,-0.31,0.16,-1.90,0.06,0.19
PgR039_g006,6669.26,-1.00,0.47,-2.12,0.03,0.13
PgR039_g008,9235.94,-0.28,0.21,-1.30,0.19,0.41
PgR039_g009,596.75,-0.80,0.32,-2.50,0.01,0.07
PgR039_g011,1410.57,-0.28,0.18,-1.59,0.11,0.29
PgR039_g012,6049.90,-0.57,0.21,-2.74,0.01,0.04
PgR039_g013,9079.13,-0.31,0.13,-2.31,0.02,0.10
PgR039_g015,5235.25,-0.37,0.23,-1.62,0.10,0.28
PgR039_g016,2264.16,0.06,0.32,0.19,0.85,0.92
PgR039_g018,1500.05,0.32,0.39,0.82,0.41,0.63
PgR039_g019,31.27,1.64,0.92,1.79,0.07,0.22
PgR039_g020,723.41,-0.07,0.17,-0.42,0.68,0.83
PgR039_g021,2129.86,0.16,0.37,0.45,0.66,0.81
PgR039_g022,46.10,-1.59,0.51,-3.15,0.00,0.02
PgR039_g023,563.95,0.08,0.30,0.25,0.80,0.90
PgR039_g024,3332.17,0.13,0.33,0.38,0.70,0.84
PgR039_g025,394.79,0.28,0.40,0.70,0.49,0.69
PgR039_g026,3253.90,0.63,0.70,0.91,0.36,0.59
PgR039_g027,255.35,2.63,0.79,3.35,0.00,0.01
PgR039_g028,599.92,0.04,0.23,0.16,0.87,0.94
PgR039_g029,315.89,-0.21,0.27,-0.77,0.44,0.65
PgR039_g030,493.30,0.15,0.26,0.57,0.57,0.75
PgR039_g031,778.02,-0.41,0.28,-1.49,0.14,0.33
PgR039_g032,2532.66,0.79,0.40,1.95,0.05,0.18
PgR039_g033,7040.04,0.17,0.21,0.79,0.43,0.65
PgR039_g034,363.68,0.18,0.31,0.56,0.57,0.76
PgR039_g035,3572.55,0.05,0.20,0.25,0.80,0.90
PgR039_g037,93.71,0.70,0.81,0.86,0.39,0.61
PgR039_g038,59595.07,-1.69,0.80,-2.11,0.04,0.14
PgR039_g039,17.12,1.20,1.70,0.70,0.48,0.69
PgR039_g040,29.64,0.07,0.48,0.15,0.88,0.94
PgR039_g041,707.60,0.33,0.23,1.45,0.15,0.34
PgR039_g042,24.11,5.84,1.29,4.54,0.00,0.00
PgR039_g043,625.75,0.06,0.19,0.30,0.77,0.88
PgR039_g044,11.89,1.44,1.03,1.40,0.16,0.36
PgR039_g045,521.09,-0.46,0.20,-2.27,0.02,0.10
PgR039_g046,156.53,2.02,0.97,2.07,0.04,0.15
PgR039_g047,18.17,5.18,1.25,4.16,0.00,0.00
PgR039_g049,1051.77,0.15,0.44,0.33,0.74,0.86
PgR039_g050,2757.87,0.02,0.33,0.05,0.96,0.98
PgR039_g051,1972.98,-0.16,0.22,-0.76,0.45,0.66
PgR039_g052,597.54,2.16,1.17,1.84,0.07,0.21
PgR039_g053,2122.47,0.00,0.36,-0.01,0.99,1.00
PgR039_g054,2421.22,-0.57,0.31,-1.85,0.06,0.20
PgR039_g055,433.02,-0.63,0.25,-2.47,0.01,0.07
PgR039_g056,846.01,0.26,0.33,0.79,0.43,0.64
PgR039_g057,3976.20,-0.81,0.16,-4.93,0.00,0.00
PgR039_g059,468.13,-0.37,0.19,-1.98,0.05,0.17
PgR039_g061,1055.45,0.09,0.22,0.43,0.67,0.82
PgR039_g062,75.29,1.36,1.15,1.18,0.24,0.46
PgR039_g063,16.15,3.24,1.24,2.62,0.01,0.06
PgR039_g064,238.73,3.26,1.23,2.66,0.01,0.05
PgR039_g065,1940.97,-0.13,0.29,-0.45,0.65,0.81
PgR039_g068,1828.32,-0.09,0.64,-0.14,0.89,0.95
PgR039_g069,5.34,1.64,0.86,1.91,0.06,0.19
PgR039_g070,1727.30,-0.10,0.43,-0.23,0.82,0.91
PgR039_g071,193.63,0.66,0.26,2.56,0.01,0.06
PgR039_g072,372.16,0.67,0.29,2.28,0.02,0.10
PgR039_g073,276.31,0.68,0.28,2.41,0.02,0.08
PgR039_g075,466.25,-0.50,0.77,-0.65,0.52,0.71
PgR039_g076,823.44,0.14,0.20,0.69,0.49,0.70
PgR039_g077,13292.90,-0.51,0.23,-2.27,0.02,0.10
PgR039_g078,3.38,3.93,1.99,1.97,0.05,0.17
PgE083_g002,29.33,7.66,2.53,3.02,#N/A,#N/A
PgB22_g018,29.15,6.92,1.08,6.40,#N/A,#N/A
PgR039_g082,2314.26,0.07,0.28,0.26,0.80,0.90
PgR039_g084,556.71,0.21,0.28,0.76,0.45,0.66
PgR039_g085,14.22,1.68,1.22,1.38,0.17,0.37
PgR039_g086,1617.40,0.34,0.17,2.04,0.04,0.15
PgR039_g087,21645.71,-0.27,0.22,-1.20,0.23,0.45
PgR039_g088,220.50,-0.03,0.83,-0.04,0.97,0.99
PgR039_g089,909.73,0.13,0.51,0.25,0.80,0.90
PgR039_g090,3259.76,0.46,0.22,2.07,0.04,0.15
PgR039_g091,135.71,0.30,0.68,0.44,0.66,0.82
PgR039_g092,33727.09,-0.18,0.33,-0.55,0.58,0.76
PgR039_g093,7.71,1.10,1.12,0.98,0.32,0.55
PgR039_g094,973.07,0.39,0.32,1.23,0.22,0.43
PgR010_g105,29.04,7.44,1.44,5.17,#N/A,#N/A
PgR039_g096,3800.63,-0.18,0.29,-0.61,0.54,0.74
PgR039_g097,33.05,2.24,0.96,2.35,0.02,0.09
PgR026_g013,28.96,8.22,1.95,4.21,#N/A,#N/A
PgR040_g001,380.35,0.23,0.20,1.18,0.24,0.46
PgR040_g002,67.07,-1.00,0.54,-1.87,0.06,0.20
PgR040_g003,8.53,-1.11,0.85,-1.30,0.20,0.41
PgR040_g004,1229.84,-0.45,0.25,-1.83,0.07,0.21
PgR040_g005,684.75,-0.82,0.36,-2.28,0.02,0.10
PgR040_g007,602.10,-0.19,0.23,-0.82,0.41,0.63
PgR018_g034,28.88,21.30,3.21,6.63,#N/A,#N/A
PgR040_g011,822.09,0.40,0.22,1.80,0.07,0.22
PgR040_g012,498.92,-0.65,0.45,-1.45,0.15,0.34
PgR040_g013,3132.29,-0.19,0.21,-0.92,0.36,0.58
PgR040_g014,3693.44,0.24,0.34,0.72,0.47,0.68
PgR040_g015,19.58,1.07,1.51,0.71,0.48,0.68
PgR040_g016,700.59,-0.68,0.23,-3.00,0.00,0.02
PgR040_g017,564.32,-0.08,0.33,-0.24,0.81,0.91
PgR040_g019,699.47,-0.28,0.26,-1.08,0.28,0.50
PgR040_g020,756.25,-0.05,0.34,-0.14,0.89,0.95
PgR040_g021,111.38,0.38,0.43,0.89,0.38,0.60
PgR040_g022,647.41,0.30,0.25,1.22,0.22,0.44
PgR040_g023,257.59,0.26,0.28,0.94,0.35,0.57
PgR040_g024,66.27,-2.79,2.17,-1.28,0.20,0.41
PgR040_g027,11.80,6.31,1.30,4.85,0.00,0.00
PgR040_g028,732.31,0.53,0.17,3.06,0.00,0.02
PgR040_g029,1362.41,0.30,0.72,0.41,0.68,0.83
PgR040_g030,2.87,3.27,1.53,2.15,0.03,0.13
PgR040_g032,1718.78,0.52,0.21,2.47,0.01,0.07
PgR040_g033,1172.98,0.44,0.22,2.04,0.04,0.15
PgR040_g034,422.27,-0.55,0.30,-1.83,0.07,0.21
PgR040_g035,32.56,-0.26,0.67,-0.39,0.70,0.84
PgR040_g037,232.78,-0.11,0.42,-0.27,0.79,0.89
PgR040_g038,914.23,0.09,0.21,0.43,0.67,0.82
PgR040_g039,98.75,1.08,0.72,1.51,0.13,0.32
PgR040_g040,90.87,2.05,0.50,4.07,0.00,0.00
PgR040_g041,2950.34,-0.54,0.18,-3.00,0.00,0.02
PgR040_g042,2354.71,0.32,0.22,1.50,0.13,0.32
PgR040_g043,1289.39,-0.58,0.63,-0.92,0.36,0.58
PgR040_g044,206.25,-0.82,0.82,-1.00,0.31,0.54
PgR040_g045,4.65,2.52,1.14,2.20,0.03,0.12
PgR040_g046,2.97,2.75,1.91,1.44,0.15,0.35
PgR040_g047,25.39,-0.01,0.51,-0.03,0.98,0.99
PgR040_g048,962.28,0.04,0.21,0.20,0.84,0.92
PgR040_g049,186.56,1.44,1.40,1.02,0.31,0.53
PgR040_g050,47.62,-0.39,1.73,-0.23,0.82,0.91
PgR040_g051,3944.02,-2.12,1.37,-1.54,0.12,0.31
PgR040_g055,298.24,0.44,0.32,1.37,0.17,0.37
PgR040_g058,392.93,-0.35,0.21,-1.66,0.10,0.27
PgR040_g060,774.28,0.11,0.25,0.42,0.67,0.82
PgR040_g061,56446.30,-0.57,0.20,-2.80,0.01,0.04
PgR040_g063,110.60,7.98,1.12,7.13,0.00,0.00
PgR040_g064,95.28,-0.59,1.51,-0.39,0.70,0.84
PgR040_g065,1032.82,4.79,0.70,6.85,0.00,0.00
PgR040_g066,231.19,0.01,0.20,0.03,0.97,0.99
PgR040_g067,19.91,3.45,1.00,3.44,0.00,0.01
PgR040_g069,1548.46,0.21,0.24,0.89,0.37,0.59
PgR040_g071,8009.47,0.24,0.12,1.93,0.05,0.18
PgR040_g072,874.93,0.52,0.27,1.89,0.06,0.19
PgR040_g073,258.79,-0.12,0.31,-0.39,0.69,0.84
PgR040_g074,907.39,0.34,0.18,1.92,0.05,0.19
PgR040_g075,4615.68,0.51,0.16,3.26,0.00,0.01
PgR040_g076,1656.20,-0.22,0.19,-1.15,0.25,0.47
PgR040_g077,2087.09,-0.31,0.17,-1.79,0.07,0.22
PgR040_g078,1461.30,-0.28,0.20,-1.37,0.17,0.37
PgR040_g079,3085.11,-0.67,0.17,-3.86,0.00,0.00
PgR040_g080,455.39,0.08,0.28,0.29,0.77,0.88
PgR040_g081,1223.09,-0.68,0.39,-1.72,0.09,0.24
PgR040_g082,587.08,0.29,0.26,1.10,0.27,0.49
PgR040_g083,1545.44,-0.21,0.13,-1.56,0.12,0.30
PgR040_g084,1120.46,0.56,0.30,1.88,0.06,0.20
PgR040_g085,9.65,-1.49,1.07,-1.39,0.16,0.37
PgR040_g087,427.10,-0.42,0.17,-2.46,0.01,0.08
PgR040_g088,1012.54,-0.56,0.15,-3.60,0.00,0.00
PgR040_g089,1888.56,0.61,0.22,2.78,0.01,0.04
PgR041_g001,6453.64,-0.41,0.16,-2.50,0.01,0.07
PgR041_g002,1859.69,-0.64,0.32,-1.99,0.05,0.17
PgR041_g003,694.81,0.84,0.36,2.34,0.02,0.09
PgR041_g004,398.39,-0.36,0.29,-1.25,0.21,0.43
PgR041_g005,3624.49,-0.98,0.31,-3.22,0.00,0.01
PgR041_g006,390.55,-0.25,0.27,-0.91,0.36,0.58
PgR041_g007,293.33,-0.36,0.25,-1.41,0.16,0.36
PgR041_g008,3949.49,-0.52,0.21,-2.43,0.02,0.08
PgR041_g009,356.48,0.07,0.27,0.28,0.78,0.89
PgR041_g010,2031.87,-0.10,0.16,-0.63,0.53,0.73
PgR041_g011,188.90,0.39,0.42,0.92,0.36,0.58
PgR041_g012,312.47,1.29,0.64,2.00,0.05,0.16
PgR041_g013,1253.66,0.39,0.31,1.28,0.20,0.41
PgR041_g014,1230.08,-0.40,0.21,-1.88,0.06,0.20
PgR041_g015,4354.84,0.61,0.25,2.41,0.02,0.08
PgR041_g016,3953.30,-0.02,0.46,-0.05,0.96,0.98
PgR041_g017,2112.93,-0.08,0.26,-0.31,0.76,0.88
PgR041_g018,667.62,-1.13,0.42,-2.70,0.01,0.05
PgR041_g019,28684.73,-0.62,0.21,-2.91,0.00,0.03
PgR041_g020,5677.98,-0.24,0.18,-1.35,0.18,0.39
PgR041_g021,12.39,2.56,1.13,2.26,0.02,0.11
PgR041_g022,977.51,0.29,0.18,1.67,0.10,0.26
PgR041_g023,3.73,3.56,1.22,2.91,0.00,0.03
PgR041_g025,214.13,1.57,0.91,1.73,0.08,0.24
PgR041_g026,1196.00,-0.56,0.42,-1.33,0.18,0.39
PgR041_g027,3237.80,-0.24,0.23,-1.07,0.28,0.51
PgR041_g028,2562.10,-0.30,0.20,-1.53,0.13,0.31
PgR041_g029,1810.69,0.06,0.32,0.19,0.85,0.93
PgR041_g030,49596.10,2.90,0.51,5.66,0.00,0.00
PgR041_g031,72.16,-0.25,0.39,-0.64,0.52,0.72
PgR041_g032,2465.09,-0.36,0.16,-2.35,0.02,0.09
PgR041_g033,304.89,0.18,0.39,0.47,0.64,0.80
PgR041_g035,2773.73,-0.32,0.18,-1.76,0.08,0.23
PgR041_g036,1961.82,0.24,0.16,1.46,0.14,0.34
PgR041_g037,263.48,0.80,0.77,1.04,0.30,0.52
PgR041_g038,1509.70,0.41,0.43,0.95,0.34,0.56
PgR041_g040,31.38,1.49,0.59,2.52,0.01,0.07
PgR041_g041,15597.76,0.26,0.81,0.32,0.75,0.87
PgR041_g044,1545.65,-0.24,0.26,-0.93,0.35,0.58
PgR041_g045,3048.26,-0.35,0.28,-1.27,0.20,0.42
PgR041_g046,1183.66,0.06,0.17,0.34,0.73,0.86
PgR041_g047,1136.21,0.09,0.19,0.48,0.63,0.80
PgR041_g048,17.04,0.75,1.13,0.66,0.51,0.71
PgR041_g050,624.03,0.81,1.45,0.56,0.58,0.76
PgR041_g051,30.94,1.97,1.41,1.39,0.16,0.37
PgR041_g052,2.93,1.38,1.36,1.02,0.31,0.53
PgR041_g053,398.31,0.49,0.84,0.58,0.56,0.75
PgR041_g054,138.98,2.54,0.70,3.65,0.00,0.00
PgR041_g055,1995.00,-0.37,0.15,-2.39,0.02,0.08
PgR041_g056,10993.40,-0.07,0.36,-0.18,0.86,0.93
PgR041_g057,8.11,-0.45,0.72,-0.62,0.53,0.73
PgR041_g061,40.51,0.44,1.05,0.43,0.67,0.82
PgR041_g062,116.19,0.07,0.87,0.08,0.94,0.97
PgR041_g063,326.84,0.75,0.32,2.33,0.02,0.09
PgR041_g064,1065.50,-0.21,0.23,-0.91,0.36,0.58
PgR041_g065,178.62,0.41,0.32,1.28,0.20,0.41
PgR041_g066,314.81,0.46,0.25,1.85,0.06,0.20
PgR041_g067,1242.79,-0.03,0.31,-0.10,0.92,0.96
PgR041_g068,7770.58,-0.80,0.23,-3.44,0.00,0.01
PgR041_g069,341.85,-0.34,0.23,-1.45,0.15,0.34
PgR041_g071,1669.98,-0.31,0.16,-1.97,0.05,0.17
PgR041_g072,26.03,0.26,0.59,0.44,0.66,0.81
PgR041_g073,60.09,0.20,0.45,0.46,0.65,0.81
PgR041_g074,218.02,0.10,0.46,0.21,0.83,0.92
PgR041_g075,5.28,1.16,1.33,0.88,0.38,0.60
PgR041_g080,435.98,0.19,0.26,0.71,0.48,0.68
PgR041_g081,4135.55,-0.34,0.20,-1.71,0.09,0.25
PgR041_g082,8.96,1.74,1.55,1.12,0.26,0.48
PgR041_g083,2722.43,-0.59,0.16,-3.61,0.00,0.00
PgR041_g084,1158.46,-0.60,0.40,-1.50,0.13,0.32
PgR041_g085,1845.14,-0.40,0.38,-1.06,0.29,0.51
PgR041_g086,1287.28,-0.38,0.28,-1.35,0.18,0.39
PgR041_g087,1831.15,0.71,0.28,2.56,0.01,0.06
PgR041_g088,11.06,5.77,1.50,3.84,0.00,0.00
PgR041_g089,3072.67,-1.45,0.49,-2.96,0.00,0.03
PgR041_g090,273.74,0.53,0.31,1.71,0.09,0.25
PgR041_g091,849.83,0.60,0.25,2.35,0.02,0.09
PgR041_g092,24893.39,2.56,1.12,2.29,0.02,0.10
PgR041_g093,172.94,1.77,0.75,2.38,0.02,0.09
PgR041_g094,2612.45,-0.62,0.27,-2.26,0.02,0.11
PgR041_g095,108.92,0.75,0.68,1.11,0.27,0.49
PgR041_g096,35.89,1.48,0.49,3.02,0.00,0.02
PgR041_g097,16.41,1.22,0.67,1.82,0.07,0.21
PgR041_g098,292.37,-0.02,0.22,-0.10,0.92,0.96
PgR041_g099,365.39,-0.41,0.42,-0.97,0.33,0.56
PgR042_g001,22109.09,1.85,0.47,3.91,0.00,0.00
PgR042_g002,288.47,0.28,0.45,0.62,0.53,0.73
PgR042_g003,1003.71,-0.30,0.36,-0.83,0.40,0.62
PgR042_g004,980.01,-0.44,0.17,-2.56,0.01,0.06
PgR042_g005,780.39,-0.16,0.20,-0.80,0.43,0.64
PgR042_g006,1545.99,-0.21,0.23,-0.93,0.35,0.57
PgR042_g007,450.44,-0.11,0.30,-0.37,0.71,0.85
PgR042_g008,1502.22,0.01,0.72,0.01,0.99,0.99
PgR042_g009,12456.71,-1.25,0.35,-3.55,0.00,0.01
PgR042_g010,808.11,-0.42,0.27,-1.57,0.12,0.30
PgR042_g011,1739.78,-0.11,0.15,-0.72,0.47,0.68
PgR042_g012,198.09,1.17,0.69,1.69,0.09,0.26
PgR042_g015,4332.02,0.52,0.20,2.61,0.01,0.06
PgR042_g016,8.71,1.57,1.75,0.90,0.37,0.59
PgR042_g019,235.68,0.59,0.30,1.93,0.05,0.18
PgR042_g020,4056.03,-0.01,0.16,-0.09,0.93,0.96
PgR042_g021,1946.47,-0.28,0.30,-0.92,0.36,0.58
PgR042_g022,15.20,2.68,1.69,1.59,0.11,0.29
PgR042_g023,131.35,1.17,0.43,2.73,0.01,0.04
PgR042_g024,30.49,5.03,1.21,4.15,0.00,0.00
PgR042_g025,913.96,0.57,0.99,0.58,0.56,0.75
PgR042_g026,20.35,7.57,1.46,5.17,0.00,0.00
PgR042_g027,1391.49,-0.03,0.26,-0.11,0.91,0.96
PgR042_g028,84.31,-0.61,0.52,-1.18,0.24,0.46
PgR042_g029,2323.13,-0.34,0.20,-1.72,0.09,0.24
PgR042_g035,67.33,0.83,0.59,1.40,0.16,0.36
PgR042_g036,14.56,-1.90,1.54,-1.23,0.22,0.44
PgR042_g037,25.54,-0.30,0.88,-0.34,0.74,0.86
PgR042_g038,1401.51,-0.15,0.19,-0.79,0.43,0.65
PgR042_g039,1098.40,-0.19,0.20,-0.95,0.34,0.57
PgR042_g040,48.90,0.21,0.39,0.54,0.59,0.77
PgR042_g041,15.09,8.79,1.80,4.89,0.00,0.00
PgR042_g042,1010.20,1.13,0.47,2.40,0.02,0.08
PgR042_g043,496.52,0.36,0.35,1.05,0.30,0.52
PgR042_g044,1301.83,-0.02,0.22,-0.09,0.93,0.96
PgR042_g045,9480.97,-0.58,0.21,-2.82,0.00,0.04
PgR042_g046,677.14,-0.33,0.19,-1.74,0.08,0.24
